OldNm,NewNm
Australian Labor Party,Labor
A.L.P.,Labor
"FUSION: Science, Pirate, Secular, Climate Emergency",Fusion
Indigenous - Aboriginal Party of Australia,Aboriginal Party
"Katter's Australian Party (KAP)","Katter's Australian Part"
Liberal National Party of Queensland,Liberal
NT CLP,Country Liberal Party
Pauline Hanson\'s One Nation,One Nation
Queensland Greens,The Greens
Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia
The Greens (WA),The Greens
TNL,The New Liberals
WESTERN AUSTRALIA PARTY,Western Australia Party